"?OLSKO LETO";"STATISTI?NA REGIJA ZAVODA";"Pred?olska glasbena vzgoja";"Glasbena pripravnica";"Plesna pripravnica";"Glasba";"Ples"
"2016/17";"Pomurska";8;20;33;908;69
"2016/17";"Podravska";36;211;209;2137;262
"2016/17";"Koro?ka";10;53;15;669;13
"2016/17";"Savinjska";30;81;96;1463;76
"2016/17";"Zasavska";35;63;117;712;147
"2016/17";"Posavska";25;107;82;1247;123
"2016/17";"Jugovzhodna Slovenija";26;112;19;1590;7
"2016/17";"Osrednjeslovenska";90;320;210;4386;325
"2016/17";"Gorenjska";78;123;103;1879;136
"2016/17";"Primorsko-notranjska";39;83;22;810;31
"2016/17";"Gori?ka";19;150;81;1303;89
"2016/17";"Obalno-kra?ka";58;178;7;1973;202
"2017/18";"Pomurska";11;41;73;922;128
"2017/18";"Podravska";56;192;204;2315;274
"2017/18";"Koro?ka";6;52;19;673;16
"2017/18";"Savinjska";51;184;167;2774;143
"2017/18";"Zasavska";38;63;132;720;154
"2017/18";"Posavska";26;119;85;1233;137
"2017/18";"Jugovzhodna Slovenija";23;93;28;1604;7
"2017/18";"Osrednjeslovenska";121;405;185;4867;316
"2017/18";"Gorenjska";39;100;108;1755;138
"2017/18";"Primorsko-notranjska";31;84;27;825;31
"2017/18";"Gori?ka";14;119;50;1310;77
"2017/18";"Obalno-kra?ka";62;134;-;2051;194
"2018/19";"Pomurska";12;46;59;921;107
"2018/19";"Podravska";37;168;207;2463;271
"2018/19";"Koro?ka";5;58;13;653;22
"2018/19";"Savinjska";43;167;148;2803;154
"2018/19";"Zasavska";34;60;122;737;174
"2018/19";"Posavska";18;96;96;1238;140
"2018/19";"Jugovzhodna Slovenija";14;64;20;1603;13
"2018/19";"Osrednjeslovenska";104;384;211;5072;344
"2018/19";"Gorenjska";25;130;99;1929;168
"2018/19";"Primorsko-notranjska";26;67;31;816;38
"2018/19";"Gori?ka";26;101;71;1333;67
"2018/19";"Obalno-kra?ka";-;11;-;314;-
